iter	Logloss
136	0.5452341253
137	0.5449643861
138	0.5443163545
139	0.5441109374
140	0.5439098615
141	0.5437086079
142	0.5434785259
143	0.5432590998
144	0.5430288635
145	0.5427867835
146	0.5424812348
147	0.542250589
148	0.5420155503
149	0.5418028511
150	0.541585313
151	0.5412767838
152	0.5407180842
153	0.5404572718
154	0.540100067
155	0.5399125752
156	0.5396896596
157	0.5395255662
158	0.5391513026
159	0.538945576
160	0.5387113041
161	0.5384054903
162	0.5382036012
163	0.5380112777
164	0.5377975653
165	0.5376326925
166	0.5373260214
167	0.5371929905
168	0.5368065223
169	0.5366301356
170	0.5364353647
171	0.5362240289
172	0.5359210763
173	0.535758616
174	0.5355798147
175	0.5354088531
176	0.5352331888
177	0.535037861
178	0.5347193013
179	0.5345453028
180	0.5343787964
181	0.5342095651
182	0.5340245058
183	0.5338519991
184	0.5337244575
185	0.5335260327
186	0.5333697061
187	0.5332259129
188	0.5330505387
189	0.5328814658
190	0.5326962186
191	0.5325558252
192	0.5323431354
193	0.5322050366
194	0.5320123846
195	0.5318012617
196	0.5316223041
197	0.5314195675
198	0.5312713827
199	0.5310966351
200	0.5309151971
201	0.5307562045
202	0.5305958529
203	0.5304612645
204	0.5302676225
205	0.5300736431
206	0.5299317099
207	0.5297909394
208	0.5296492646
209	0.5293728223
210	0.5291703216
211	0.52903773
212	0.5289019076
213	0.528762397
214	0.5285717337
215	0.5283147604
216	0.5280330506
217	0.5279021272
218	0.5277394776
219	0.5275141789
220	0.5273816546
221	0.5271967472
222	0.5270457503
223	0.5268491009
224	0.5266100406
225	0.5264299128
226	0.5262445753
227	0.5261026825
228	0.5259311805
229	0.5257694596
230	0.5256177149
231	0.5254499871
232	0.5251546083
233	0.5249992344
234	0.5248613165
235	0.524750702
236	0.5246001103
237	0.5244306385
238	0.5243053938
239	0.5241524203
240	0.5239860389
241	0.5238219602
242	0.5236907919
243	0.5232275337
244	0.5231062038
245	0.5229905881
246	0.5228607617
247	0.5227469392
248	0.5226076088
249	0.5224168168
250	0.5221899548
251	0.5220306615
252	0.521902797
253	0.5214644518
254	0.5213001714
255	0.5211466137
256	0.5209951577
257	0.5208646364
258	0.5207620912
259	0.5206127325
260	0.5204319946
261	0.5203045698
262	0.5200778406
263	0.5199259517
264	0.5198378281
265	0.5196954745
266	0.5195654194
267	0.5194322981
268	0.5193008903
269	0.5191864815
270	0.5189949037
271	0.5188707646
272	0.5187325129
273	0.5185598612
274	0.5184205796
275	0.5183015678
276	0.518176709
277	0.5180311046
278	0.517818196
279	0.517714513
280	0.5176093207
281	0.517444696
282	0.5172878794
283	0.5171806844
284	0.5169963601
285	0.5168574059
286	0.5167184599
287	0.5165916036
288	0.5164910869
289	0.5162401658
290	0.5161322335
291	0.5159276838
292	0.5157816005
293	0.5155811267
294	0.5152836595
295	0.5151596004
296	0.5150570045
297	0.5149546363
298	0.5148412987
299	0.5147126708
300	0.5146068124
301	0.5144891324
302	0.5143708675
303	0.51411682
304	0.5140006957
305	0.5138918061
306	0.5137807512
307	0.5135662438
308	0.5134721519
309	0.51334949
310	0.5132421322
311	0.5130480231
312	0.5129344051
313	0.5128008126
314	0.5126322286
315	0.5125262477
316	0.5124329246
317	0.5122902312
318	0.5121618438
319	0.5119551774
320	0.5116945614
321	0.5115895055
322	0.5114337629
323	0.5113352564
324	0.5112104613
325	0.5110941774
326	0.5109141924
327	0.5107454724
328	0.5106242697
329	0.5104969815
330	0.5103129851
331	0.5101785598
332	0.5101120412
333	0.5100052395
334	0.5098930985
335	0.5097580379
336	0.5096264395
337	0.5094858721
338	0.5093395086
339	0.509245245
340	0.5091278212
341	0.5090395124
342	0.5089564701
343	0.5088444102
344	0.5087288809
345	0.5085214836
346	0.5083995353
347	0.5082633359
348	0.508136013
349	0.5080218885
350	0.5078839825
351	0.5077721303
352	0.5076087565
353	0.5075283496
354	0.5074215633
355	0.5073613888
356	0.5072670483
357	0.5071241785
358	0.5069456442
359	0.5068328794
360	0.5067286871
361	0.5066035469
362	0.5065111622
363	0.5063813838
364	0.5062740239
365	0.5060930551
366	0.5059794115
367	0.5059206434
368	0.5058287942
369	0.5057095391
370	0.5056457338
371	0.5053191337
372	0.5051768888
373	0.5049816948
374	0.5048587404
375	0.5047010616
376	0.5045656973
377	0.5044214566
378	0.504319062
379	0.5042404893
380	0.5041582097
381	0.5040227686
382	0.5039303612
383	0.5038005624
384	0.5036502679
385	0.5035962584
386	0.5034332465
387	0.5033033489
388	0.5032373626
389	0.5030855113
390	0.5030196745
391	0.5029168853
392	0.502793623
393	0.5026770071
394	0.502573924
395	0.5024953556
396	0.502395642
397	0.5022020555
398	0.5019704254
399	0.501838734
400	0.5017301584
401	0.5016615716
402	0.501545002
403	0.5014108636
404	0.5012863068
405	0.5011600713
406	0.5010846312
407	0.5009872814
408	0.500883744
409	0.5006149257
410	0.5004837683
411	0.5003447163
412	0.5002127864
413	0.5001047612
414	0.4999420453
415	0.4998459755
416	0.4996914929
417	0.499599309
418	0.4994735228
419	0.499409983
420	0.4993506322
421	0.4992448525
422	0.4991125866
423	0.4990386723
424	0.4989276317
425	0.4988121633
426	0.4987091514
427	0.4986512012
428	0.4985218567
429	0.4984347225
430	0.4982891154
431	0.4981838654
432	0.4980897677
433	0.4979874839
434	0.4978815476
435	0.4978240783
436	0.4977371759
437	0.4974180994
438	0.4973073112
439	0.497165921
440	0.4970834097
441	0.4970030002
442	0.4969516503
443	0.4968617074
444	0.4967787599
445	0.4967131039
446	0.4966311427
447	0.4966063175
448	0.4964992741
449	0.4963889438
450	0.4962965727
451	0.4961966897
452	0.4960581325
453	0.4959024238
454	0.4957953415
455	0.4956816753
456	0.4956408342
457	0.4956136629
458	0.4954966716
459	0.495423783
460	0.4953174833
461	0.4952026799
462	0.4951107828
463	0.4950347377
464	0.4949417373
465	0.4948237807
466	0.4947473759
467	0.4946707315
468	0.4945659129
469	0.4944975291
470	0.4944642355
471	0.4942222945
472	0.4941066694
473	0.4940775229
474	0.493980779
475	0.4938685921
476	0.4937184092
477	0.4936409975
478	0.4935283289
479	0.4934281684
480	0.4931751529
481	0.4931071983
482	0.4929901221
483	0.4928957877
484	0.492845541
485	0.4927449362
486	0.4926547615
487	0.492461184
488	0.4923376807
489	0.4922525714
490	0.4921810474
491	0.4920911092
492	0.492002301
493	0.4919043121
494	0.4918159064
495	0.4917665395
496	0.4916638681
497	0.4915702995
498	0.4914656423
499	0.4913893935
500	0.491285925
501	0.4911556286
502	0.4910029337
503	0.4908820066
504	0.4907889649
505	0.4907285959
506	0.4906196406
507	0.4905032191
508	0.4903897814
509	0.4903234591
510	0.490212479
511	0.4901107307
512	0.4900355867
513	0.4899187738
514	0.4898184541
515	0.4897434283
516	0.4894586363
517	0.4893540147
518	0.4892863512
519	0.4891983566
520	0.4890459962
521	0.4889429593
522	0.488885023
523	0.4887777891
524	0.4886437037
525	0.4885373275
526	0.4884267427
527	0.4883803969
528	0.488233072
529	0.48813085
530	0.4880973893
531	0.488012068
532	0.4878976568
533	0.4877128636
534	0.4876335646
535	0.4875383858
536	0.4874858305
537	0.4873347685
538	0.4872593491
539	0.4871549245
540	0.4869570947
541	0.4868227592
542	0.4867030967
543	0.4866246181
544	0.4865919796
545	0.4865301309
546	0.4864138522
547	0.4862638737
548	0.4861635354
549	0.4860597509
550	0.4859488302
551	0.4858425027
552	0.4857594258
553	0.4856612312
554	0.4855351185
555	0.4854595426
556	0.4853339533
557	0.4852405465
558	0.4851099808
559	0.4849982754
560	0.4849310346
561	0.4848247037
562	0.4847631173
563	0.4846600226
564	0.4845559642
565	0.4844363723
566	0.4843108906
567	0.4842675691
568	0.4841680524
569	0.4840258499
570	0.4839090055
571	0.4838597981
572	0.483851032
573	0.4837120829
574	0.4836053849
575	0.4835739993
576	0.4834538405
577	0.4833681721
578	0.4832818839
579	0.4831819292
580	0.4831688081
581	0.4830933366
582	0.4829700356
583	0.4828500531
584	0.4827644656
585	0.4826687237
586	0.4826464217
587	0.482594151
588	0.4824791576
589	0.4824415622
590	0.4823531605
591	0.4822745162
592	0.4822406595
593	0.4821247178
594	0.4820121905
595	0.481870402
596	0.481840902
597	0.4817205798
598	0.4816206195
599	0.4815677244
600	0.4815646603
601	0.481466543
602	0.481340352
603	0.4812269774
604	0.4811721916
605	0.481106218
606	0.4809790997
607	0.4808552288
608	0.4808123479
609	0.4807238687
610	0.4806261153
611	0.4805445341
612	0.4804252542
613	0.4803260881
